BATCH,DATE,ACCOUNT,ACCOUNT DESCRIPTION,DR,CR
1,2021-08-28,101,Cash,50588.52,0
1,2021-08-28,301,Owner's Equity,0,50588.52
2,2021-08-31,103,Inventory,729.55,0
2,2021-08-31,201,Accounts Payable,0,729.55
2,Description:,Goods purchased,,,,
3,2021-09-02,101,Cash,9606.44,0
3,2021-09-02,202,Loan Payable,0,9606.44
3,Description:,Loan account adjustments,,,,
3,2021-09-05,301,Owner's Equity,0,7.275957614183426e-12
4,2021-09-05,502,Rent Expense,1085.42,0
4,2021-09-05,503,Salary Expense,3721.71,0
4,2021-09-05,101,Cash,0,4807.13
4,Description:,Regular expenses,,,,
4,2021-09-13,301,Owner's Equity,4807.129999999997,0
5,2021-09-13,101,Cash,0,9234.7
5,2021-09-13,202,Loan Payable,9234.7,0
5,Description:,Loan account adjustments,,,,
6,2021-09-16,201,Accounts Payable,1701.45,0
6,2021-09-16,101,Cash,0,1701.45
6,Description:,Debt payment,,,,
6,2021-09-18,301,Owner's Equity,0,7.275957614183426e-12
7,2021-09-18,103,Inventory,4309.25,0
7,2021-09-18,201,Accounts Payable,0,4309.25
7,Description:,Restocking products,,,,
8,2021-09-20,401,Sales Revenue,0,4896.33
8,2021-09-20,501,Cost of Goods Sold,4161.8805,0
8,2021-09-20,103,Inventory,0,4161.8805
8,2021-09-20,102,Accounts Receivable,4896.33,0
8,Description:,Sales completed,,,,
8,2021-09-29,301,Owner's Equity,0,734.4495000000024
9,2021-09-29,502,Rent Expense,2894.91,0
9,2021-09-29,503,Salary Expense,4000.1,0
9,2021-09-29,101,Cash,0,6895.01
9,Description:,Regular expenses,,,,
9,2021-10-04,301,Owner's Equity,6895.010000000009,0
10,2021-10-04,103,Inventory,1006.99,0
10,2021-10-04,201,Accounts Payable,0,1006.99
10,Description:,Goods purchased,,,,
11,2021-10-12,103,Inventory,586.27,0
11,2021-10-12,201,Accounts Payable,0,586.27
11,Description:,Added to inventory,,,,
12,2021-10-14,103,Inventory,1246.05,0
12,2021-10-14,201,Accounts Payable,0,1246.05
12,Description:,Goods purchased,,,,
13,2021-10-15,201,Accounts Payable,1147.27,0
13,2021-10-15,101,Cash,0,1147.27
13,Description:,Reduced payable amount,,,,
14,2021-10-24,201,Accounts Payable,1428.44,0
14,2021-10-24,101,Cash,0,1428.44
14,Description:,Reduced payable amount,,,,
15,2021-10-26,502,Rent Expense,2547.03,0
15,2021-10-26,503,Salary Expense,3174.9,0
15,2021-10-26,101,Cash,0,5721.93
15,Description:,Monthly bills paid,,,,
15,2021-11-02,301,Owner's Equity,5721.93,0
16,2021-11-02,103,Inventory,3775.07,0
16,2021-11-02,201,Accounts Payable,0,3775.07
16,Description:,Restocking products,,,,
17,2021-11-06,401,Sales Revenue,0,1595.75
17,2021-11-06,501,Cost of Goods Sold,1356.3875,0
